ID1,CASEID,HHID,V001,V002,V003,V004,V007,V008,V009,V010,V011,V012,V013,V014,V015,V017,V018,V019,V019A,V020,V021,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V040,V042,V043,V044,V000,Q105DD,V101,V102,V103,V104,V105,V106,V107,V113,V115,V116,V119,V120,V121,V122,V123,V124,V125,V127,V128,V129,V130,V131,V133,V134,V135,V136,V137,V138,V139,V140,V141,V149,V150,V151,V152,V153,AWFACTT,AWFACTU,AWFACTR,AWFACTE,AWFACTW,V155,V156,V157,V158,V159,V160,V161,V166,V167,V168,ML101,QD333_1,QD333_2,QD333_3,QD333_4,QD333_5,QD333_6,UBIGEO,V022,V005,V190,V191,mujeres12a49
2024,      325503101  2,      325503101,3255,31,2,3255,2024,1493,2,1986,1035,38,5,1,1,1429,16,65,4,0,3255,1,1,1,1,1,0,0,0, ,0, ,1,2293,1,0,1,PE6,12,1,1,2,4,2,2,5,11,996,22,1,0,0,0,0,0,0,34,31,34, ,10,11,1,1,4,1,2,1,1,1,4,2,1,35,0,100,100,100,100,100,2, ,1,0,0,0,2,994, , , ,2,2,2,2,2,2,010101,2,89427,2,-.224175006493913,2
2024,      325503101  4,      325503101,3255,31,4,3255,2024,1493,7,2008,1304,15,1,1,1,1429,16,65,4,0,3255,1,1,1,1,1,0,0,0, ,0, , ,2293,1,0,0,PE6,24,1,1,1,4,2,2,3,11,996,22,1,0,0,0,0,0,0,34,31,34, ,10,9,1,1,4,1,2,1,1,1,3,11,1,35,0,100,100,100,100,100,2, ,3,1,0,0,2,994, , , ,2,2,2,2,2,2,010101,2,89427,2,-.224175006493913,2
2024,      325503901  2,      325503901,3255,39,2,3255,2024,1493,8,2006,1281,17,1,1,1,1429,16,65,4,0,3255,1,1,1,1,1,0,0,0, ,0, , ,2293,1,0,1,PE6,10,1,1,0,95, ,2,5,11,996,11,1,0,0,0,0,0,0,34,31,31, ,10,11,1,1,2,0,1,1,1,1,4,3,2,53,0,100,100,100,100,100,2, ,1,0,0,0,2,994, , , ,2,2,2,2,2,2,010101,2,729490,3,.366367930920724,2
2024,      325504701  2,      325504701,3255,47,2,3255,2024,1493,11,1991,1104,32,4,1,1,1429,16,65,4,0,3255,1,1,1,1,2,0,0,0, ,0, ,1,2293,1,0,1,PE6,18,1,1,3,14,1,2,5,71,996,11,1,1,1,1,0,0,0,34,31,34, ,10,11,1,1,4,1,1,1,1,1,4,2,1,33,0,100,100,100,100,100,2, ,1,1,0,0,2,994, , , ,2,2,2,2,2,2,010101,2,89427,2,.0566849954924239,2
2024,      325505001  1,      325505001,3255,50,1,3255,2024,1493,6,1987,1051,36,5,1,1,1429,16,65,4,0,3255,1,1,1,1,1,0,0,0, ,0, ,2,2293,1,0,1,PE6,8,1,1,2,2,2,1,6,11,996,11,1,0,1,0,0,0,0,11,21,34, ,10,6,1,1,3,1,1,1,1,1,2,1,2,36,0,100,100,100,100,100,2,0,1,1,1,0,2,994, , , ,2,2,2,2,2,2,010101,2,89427,2,-.256260959044164,2
2024,      325505301  1,      325505301,3255,53,1,3255,2024,1493,2,1992,1107,32,4,1,1,1429,16,65,4,0,3255,1,1,1,1,1,0,0,0, ,0, ,0,2293,1,0,1,PE6,8,1,1,2,2,1,1,6,11,996,11,1,0,1,0,0,0,0,34,21,34, ,10,6,1,1,2,0,1,1,1,1,2,1,2,32,0,100,100,100,100,100,2,0,1,1,1,0,2,994, , , ,2,2,2,2,2,2,010101,2,729490,2,-.17238395918053,2
2024,      325508901  2,      325508901,3255,89,2,3255,2024,1493,7,1989,1076,34,4,1,1,1429,16,65,4,0,3255,1,1,1,1,1,0,0,0, ,0, ,1,2293,1,0,1,PE6,31,1,1,1,95, ,2,5,11,996,11,1,1,0,0,0,0,0,34,31,31, ,10,11,1,1,4,1,1,1,1,1,4,2,1,36,0,100,100,100,100,100,2, ,1,1,0,0,2,994, , , ,2,2,2,2,2,2,010101,2,89427,3,.563507474984082,2
2024,      325509301  1,      325509301,3255,93,1,3255,2024,1493,5,1999,1194,24,2,1,1,1429,16,65,4,0,3255,1,1,1,1,2,0,0,0, ,0, , ,2293,1,0,1,PE6,15,1,1,1,8,1,3,5,11,996,11,1,0,1,0,0,0,0,34,31,31, ,10,16,1,1,2,0,2,1,1,1,5,1,2,24,0,100,100,100,100,100,2, ,1,1,1,0,2,994, , , ,2,2,2,2,2,2,010101,2,729490,3,.445810583037222,2
2024,      325509301  2,      325509301,3255,93,2,3255,2024,1493,5,2005,1266,18,1,1,1,1429,16,65,4,0,3255,1,1,1,1,1,0,0,0, ,0, , ,2293,1,0,0,PE6,22,1,1,1,2,2,3,1,11,996,11,1,0,1,0,0,0,0,34,31,31, ,10,12,1,1,2,0,2,1,1,1,5,8,2,24,0,100,100,100,100,100,2, ,0,1,1,0,2,994, , , ,2,2,2,2,2,2,010101,2,729490,3,.445810583037222,2
2024,      325509701  2,      325509701,3255,97,2,3255,2024,1493,5,1993,1122,30,4,1,1,1429,16,65,4,0,3255,1,1,1,1,1,0,0,0, ,0, ,1,2293,1,0,1,PE6,27,1,1,1,10,2,3,3,11,996,11,1,1,1,1,0,0,1,33,31,31, ,10,14,1,1,4,1,1,1,1,1,5,2,1,45,0,100,100,100,100,100,2, ,1,3,3,0,2,994, , , ,2,2,2,2,2,2,010101,2,89427,4,1.01561463940519,2
