,haz_score,edad_meses,peso_nacer_kg,talla_madre_cm,V106,HV270,HV025
haz_score,1.0,-0.009685480976708715,0.33742105066056466,0.38759962957979316,0.25972083179877614,0.302139243725773,-0.23831870547415238
edad_meses,-0.009685480976708715,1.0,0.014936063383753162,-0.002035193500406258,-0.03339461851492354,0.01513045235169821,-0.01937957612072111
peso_nacer_kg,0.33742105066056466,0.014936063383753162,1.0,0.141012946431246,0.0731024431961974,0.1016437363680608,-0.08799152719517381
talla_madre_cm,0.38759962957979316,-0.002035193500406258,0.141012946431246,1.0,0.25328952821509765,0.23748594924308097,-0.14560751915741635
V106,0.25972083179877614,-0.03339461851492354,0.0731024431961974,0.25328952821509765,1.0,0.4981148167325472,-0.3554656239183607
HV270,0.302139243725773,0.01513045235169821,0.1016437363680608,0.23748594924308097,0.4981148167325472,1.0,-0.5977609980641168
HV025,-0.23831870547415238,-0.01937957612072111,-0.08799152719517381,-0.14560751915741635,-0.3554656239183607,-0.5977609980641168,1.0
