iter	Logloss
0	0.6803021478
1	0.6680125847
2	0.6581216565
3	0.6484509776
4	0.6391384834
5	0.6309743224
6	0.6227795023
7	0.6159716549
8	0.6088110758
9	0.6019333228
10	0.594151273
11	0.58836227
12	0.5829602185
13	0.577172468
14	0.5711652201
15	0.5652902032
16	0.560743641
17	0.5565843915
18	0.5527993965
19	0.5495400478
20	0.5457332013
21	0.5426910938
22	0.5398377057
23	0.5366809757
24	0.5336576641
25	0.5309919521
26	0.5290020392
27	0.5268422287
28	0.5244231251
29	0.5224408405
30	0.5202006462
31	0.5182199898
32	0.5163639795
33	0.5142351201
34	0.5122943438
35	0.5097087567
36	0.507449921
37	0.5057783455
38	0.5042328761
39	0.5028717897
40	0.5003894744
41	0.4988392977
42	0.4971186555
43	0.4959533145
44	0.4928563399
45	0.49162423
46	0.4905529885
47	0.4885739808
48	0.487058741
49	0.4860013675
50	0.4845656111
51	0.48325569
52	0.4821936013
53	0.4800741276
54	0.4786146914
55	0.4763063493
56	0.4747914406
57	0.4738360207
58	0.4725208389
59	0.4714855816
60	0.470636787
61	0.4698794351
62	0.4687091647
63	0.4678845178
64	0.4668090211
65	0.4662048562
66	0.4647532601
67	0.4631765956
68	0.4623572314
69	0.4611014224
70	0.4604914999
71	0.4594526027
72	0.4586998468
73	0.4578097829
74	0.4569876217
75	0.4558216629
76	0.4554020603
77	0.4547935416
78	0.4539220776
79	0.4531399216
80	0.4525746365
81	0.4516822191
82	0.4510591258
83	0.4504810219
84	0.4499651192
85	0.4495675276
86	0.4491147709
87	0.4482088078
88	0.4469909469
89	0.4463056571
90	0.4455007959
91	0.4446735397
92	0.4441672069
93	0.4438064195
94	0.443118375
95	0.4425719932
96	0.4413803907
97	0.4401692457
98	0.4391052019
99	0.4383724315
100	0.4378841121
101	0.4376266479
102	0.4373603318
103	0.4368585373
104	0.4362100258
105	0.4355168803
106	0.4345498161
107	0.4338133116
108	0.433350913
109	0.4324501561
110	0.4317013769
111	0.4308941782
112	0.43031781
113	0.4295979869
114	0.4292577007
115	0.4285410739
116	0.4280519874
117	0.4276252674
118	0.4264662089
119	0.4259267542
120	0.4252757914
121	0.4249176865
122	0.4245035657
123	0.4240600383
124	0.4237965752
125	0.4234503411
126	0.4225665352
127	0.4216667372
128	0.4215132065
129	0.4210396825
130	0.4208373511
131	0.4202732766
132	0.4196111894
133	0.4192671624
134	0.4189679253
135	0.4186309095
136	0.418208582
137	0.4176742263
138	0.4163571415
139	0.4157198026
140	0.4154472893
141	0.4152196798
142	0.4148453511
143	0.4146040239
144	0.4141721231
145	0.4137549356
146	0.4131575116
147	0.4127117214
148	0.4123234741
149	0.4118359735
150	0.4113774643
151	0.410828994
152	0.4104929669
153	0.4098398724
154	0.4095379285
155	0.4090269808
156	0.4084368806
157	0.4075582893
158	0.406961424
159	0.4063740116
160	0.4054644821
161	0.4049891717
162	0.4044260177
163	0.4040989772
164	0.4038495179
165	0.4036788908
166	0.4031662856
167	0.402289298
168	0.4019143096
169	0.4013760735
170	0.4010616847
171	0.4005385723
172	0.4001304322
173	0.399735947
174	0.3993236406
175	0.3984855555
